miRNA genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
hsa-miR-200c-3p,106.2988461912255,-6.303697731091544,0.7111987482808977,-8.863482600790254,7.755300491189465e-19,3.272736807281954e-16
hsa-miR-210-3p,286.3512412469277,4.57733533026883,0.5441902897869725,8.411277114225362,4.055702646851939e-17,8.55753258485759e-15
hsa-miR-138-5p,60.270981126366735,-5.260664737197761,0.7718267236375717,-6.815862389947544,9.36999556608927e-12,1.318046042963224e-09
hsa-miR-12136,132.35634370617393,-4.102828119605254,0.6658151411410177,-6.162112974142002,7.178060854123309e-10,7.57285420110009e-08
hsa-miR-141-3p,365.4660311260149,-3.9452843074324364,0.6503640089012932,-6.066270970463894,1.3091418784298728e-09,1.1049157453948128e-07
hsa-miR-184,32.457524618600836,-7.270865048074178,1.5668226447869065,-4.640515678188351,3.4754080550983514e-06,0.0002095174570359292
hsa-miR-508-3p,31.024543869311668,-5.357984446941287,1.149604048891768,-4.660721621593494,3.1510266595620934e-06,0.0002095174570359292
hsa-miR-135a-5p,101.95091481024281,-3.6353163325794835,0.7927254290210424,-4.5858454888583955,4.52152905037219e-06,0.000238510657407133
hsa-miR-210-5p,27.235866767461147,3.728130012340082,0.8238589258338568,4.525204371084175,6.033717016115475e-06,0.0002829142867556367
hsa-miR-16-5p,6153.887636871784,1.1969570403962069,0.2694245999688867,4.442641987904714,8.886095499689614e-06,0.00037499323008690174
hsa-miR-155-5p,471.67602241199376,3.8208787945867546,0.8671033428251258,4.406486062131737,1.050610653155444e-05,0.00040305245057417946
hsa-miR-122-5p,26.745189266849213,7.45894952197881,1.7432615038449373,4.278732425128044,1.879606518467978e-05,0.0005104090019066684
hsa-miR-204-5p,4144.481143778017,-1.5770537747742357,0.3687292456036377,-4.276996722059514,1.8943159102586315e-05,0.0005104090019066684
hsa-miR-218-5p,46.99708135398029,-2.709968258078645,0.6343203786456233,-4.272238996743043,1.9352000072290742e-05,0.0005104090019066684
hsa-miR-30c-2-3p,171.79789851677415,-1.4736349131272157,0.34326614869089017,-4.292980588814827,1.7629042406003043e-05,0.0005104090019066684
hsa-miR-27a-3p,2991.7343094385596,1.5398059630970014,0.3567447113386949,4.316268508421147,1.586889333295949e-05,0.0005104090019066684
hsa-miR-15a-5p,489.87926983805806,1.182922407909783,0.28620208433373984,4.133171883299001,3.5779094648672455e-05,0.000888163408337634
hsa-miR-136-5p,22.955371615214446,-2.5108844654785196,0.6112970323225484,-4.107470399355156,4.0001602359600186e-05,0.0009378153442084043
hsa-miR-660-5p,190.8123638989317,-1.6349085078634285,0.40271099051090686,-4.059756367188467,4.912394569997631e-05,0.0010910686887047368
hsa-miR-20b-5p,22.69685918151019,-3.4584585750092023,0.8904184556456792,-3.884082313299909,0.00010271710739688938,0.002167330966074366
hsa-miR-30a-3p,2359.8791434766085,-1.1791352128635717,0.30542392354927306,-3.860651121107563,0.00011308527378509624,0.002169181160786846
hsa-miR-103b,584.1087736681733,3.1232303360601934,0.8075204998189007,3.867679318061433,0.00010987602665176772,0.002169181160786846
hsa-miR-136-3p,69.27866918477825,-2.5206551309360217,0.6956125001872691,-3.623648410943484,0.0002904764024001152,0.005329610513602114
hsa-miR-106b-3p,45.613101521292215,1.6435982870436554,0.45673490520069404,3.5985826095805864,0.000319956220645416,0.005625896879681898
hsa-miR-362-5p,44.42192401994695,-2.391844389765696,0.6724498936594276,-3.556910949527314,0.0003752412850543972,0.006024993684658954
hsa-miR-187-3p,7.986224892660645,-4.276272260568368,1.2046426706214384,-3.5498263218273434,0.00038548537792841645,0.006024993684658954
hsa-miR-21-5p,18299.83255166069,1.796633258620432,0.5055823320903717,3.553591857516271,0.00038000846180235833,0.006024993684658954
hsa-miR-514a-3p,26.53453104796776,-3.4675760220800877,0.982855102464013,-3.5280643234052422,0.0004186104205613448,0.006309057052745982
hsa-miR-411-5p,64.66320611990194,-1.984213982018853,0.5720362257086417,-3.4686858853402116,0.0005230105698000038,0.00750657104758275
hsa-miR-887-3p,6.905435247229782,2.900276570878724,0.8374375370045541,3.4632751013917735,0.0005336424915343188,0.00750657104758275
hsa-miR-381-3p,65.61203161405909,-1.655599197482643,0.4977765485872284,-3.3259887437074034,0.000881054865752312,0.011993714624112119
hsa-miR-592,9.322181567545108,3.1494338796525567,0.9538978654789749,3.3016468467210065,0.0009611900623082905,0.012291582008912078
hsa-miR-224-3p,6.23126415746054,3.7022956156047964,1.1187691407278322,3.309257898547516,0.0009354362782741648,0.012291582008912078
hsa-miR-203a-3p,18.00022302412939,-2.0636322389099857,0.6273527348411607,-3.2894289357525093,0.0010039090393092966,0.012460282782015388
hsa-miR-25-3p,1175.2835115791331,0.9279350417331371,0.28438050456828234,3.2630051175337567,0.0011023752922465402,0.012922288148001108
hsa-miR-224-5p,36.85082885825098,3.0973590213763287,0.9490922539823002,3.2634962601160282,0.001100466366414017,0.012922288148001108
hsa-miR-532-3p,24.75169244721297,-1.7619319079101332,0.5419400591287661,-3.251156429998275,0.0011493659896033126,0.013108985070610753
hsa-miR-891a-5p,24.18450200183703,-7.815223659198317,2.413881890576327,-3.2376164259355673,0.0012053274704962736,0.013385478751300722
hsa-miR-130b-3p,16.67941927948529,2.1368616502001982,0.6640579339150596,3.2178843758435187,0.0012913986489410411,0.0138121827557539
hsa-miR-106b-5p,70.65300413765146,1.2935997462723992,0.4024949341613312,3.2139528636996166,0.0013092116356164833,0.0138121827557539
hsa-miR-3184-5p,107.48579082670248,2.075332918860423,0.6491858632403413,3.196823955009775,0.0013894970108792348,0.01396113663311993
hsa-miR-30b-5p,3459.335694382468,-1.8037769573109825,0.5635894129505028,-3.2005160421091854,0.0013718173266354693,0.01396113663311993
hsa-miR-363-3p,142.94526185805466,-1.5526290362385702,0.48721829207997697,-3.1867215609049957,0.0014389522876349103,0.014121810822835631
hsa-miR-103a-3p,1393.5576730196392,-1.2657409039466598,0.4024601592012533,-3.1450092015535787,0.0016608160617067739,0.015928735864551333
hsa-miR-452-5p,22.335187150837527,2.469812268641097,0.7902656352173933,3.1252937728485173,0.0017762756983778056,0.016657518771454088
hsa-miR-9-5p,27.960909525478684,-3.717960141176166,1.1979794577799052,-3.1035257883856264,0.0019122956833142165,0.017169974007629773
hsa-miR-885-5p,6.605824267113948,5.42892814346264,1.7484601919693972,3.1049766922904363,0.0019029401913461124,0.017169974007629773
hsa-miR-5787,10.418496059176121,2.362657566310889,0.7628456417836408,3.097163353764022,0.001953821749412467,0.01717734954691794
hsa-miR-509-3-5p,7.363144144196114,-3.1116434166357183,1.0137195203944,-3.0695309245155857,0.0021439520851003215,0.018094955598246712
hsa-miR-34a-5p,187.5651911396416,1.8959411352083104,0.6169001868822077,3.0733353231587297,0.0021168048221208474,0.018094955598246712
hsa-miR-10b-5p,233427.2295032422,-1.466444092106864,0.4815969621957563,-3.0449612585197197,0.002327102840900485,0.019117509933284694
hsa-miR-216b-5p,10.84751097360946,-6.657666602740169,2.189097021199292,-3.04128439181411,0.0023557121244805784,0.019117509933284694
hsa-miR-107,308.3083395768034,-1.718342739587876,0.5714642734421452,-3.006911926860534,0.002639162142787493,0.02101370611804381
hsa-miR-532-5p,451.66037068244526,-0.8725614613061369,0.29226122752550787,-2.985553262380593,0.002830658380134183,0.02171886975302955
hsa-miR-4510,7.219750257791039,-2.6680187038713004,0.8934013738743287,-2.9863606458328547,0.0028231947783574985,0.02171886975302955
hsa-miR-378a-3p,2303.8435580742325,-0.9529926996480085,0.32363549942872427,-2.9446482271883476,0.003233220330081929,0.02436462463026025
hsa-miR-181c-5p,436.27987934023275,1.379680702001345,0.46995653800153375,2.935762332126215,0.00332729141594699,0.024633631184730345
hsa-miR-509-3p,8.23439094737841,-3.798585493840851,1.3049848921269291,-2.9108271802669896,0.0036047333900135117,0.025783008315011895
hsa-let-7b-5p,3646.911678919436,-0.7105493342428415,0.24385030370111357,-2.9138751252643886,0.0035697266786594095,0.025783008315011895
hsa-miR-1251-5p,8.151083754477662,-6.246101093186814,2.1596472423180737,-2.892185802752914,0.003825716237840753,0.026907537539479963
hsa-miR-21-3p,848.6104346639237,1.8850644128597165,0.6537905863344778,2.8832847279561804,0.003935515378817056,0.027226024423947507
hsa-miR-10b-3p,47.793768573221364,-1.5393741961903076,0.5353210006782774,-2.875609576758331,0.004032481520640698,0.027446890350167334
hsa-miR-181d-5p,58.12366444555505,1.8686822694727905,0.6527244734632583,2.8628959774678617,0.004197883560781358,0.028119156549995767
hsa-miR-335-5p,70.55140887599522,-1.8407587680455602,0.6465393669062793,-2.8470946430588993,0.00441202433046366,0.029091785428994762
hsa-miR-32-3p,7.2351914074508,-2.710779234164617,0.9611572876894405,-2.820328440396216,0.00479745186883552,0.030674616494675597
hsa-miR-93-5p,599.9654617495049,0.9193828674137501,0.32598016709625377,2.8203644276993063,0.004796913817966915,0.030674616494675597
hsa-miR-181b-5p,1134.182189872023,1.2128554993216634,0.43463433322306655,2.790519309249304,0.005262356121271725,0.03297565578931918
hsa-miR-141-5p,4.7291991626609535,-4.438397387456989,1.5923187252110598,-2.7873800120441876,0.005313612781217308,0.03297565578931918
hsa-miR-4634,60.911085278296376,2.316262324535865,0.8325908800343808,2.781993389646807,0.005402614050171572,0.03304207433583193
hsa-miR-28-3p,1668.0672767853603,0.8612606800165298,0.3127438955221258,2.7538848634556254,0.005889248222914821,0.035503753572429346
hsa-miR-151a-3p,1149.9385433300836,0.7501397039316753,0.27312267862080447,2.746530268814283,0.006022932800940176,0.03579827664784161
hsa-miR-126-5p,19434.11827663556,1.5909562137016826,0.5847877497575092,2.7205703511426083,0.006516940314352407,0.03819651128689883
hsa-miR-199a-3p,647.6412028362967,-2.4581513171786042,0.9058227856193539,-2.7137221056962595,0.006653195169364371,0.03846093645851732
hsa-miR-9985,80.95500464493132,3.541287723909047,1.3161543320799114,2.6906325782575737,0.007131669166297465,0.040669789029426084
hsa-miR-126-3p,4346.359412483169,1.6164245598611175,0.6024588908986173,2.6830454065506224,0.007295508429592641,0.0410493940971746
hsa-miR-12135,151.58729735753357,-1.7241090785693987,0.6466263782999002,-2.6663141752775363,0.007668798885959901,0.04219620558983077
hsa-miR-4508,3.135859973839525,3.3982228680832907,1.2751404672978681,2.6649792358048336,0.007699307655016515,0.04219620558983077
hsa-miR-4662a-5p,14.748121177610814,-1.6373001120731383,0.6253696265840096,-2.6181318095294324,0.008841264642579455,0.04783350870728885
hsa-miR-19a-3p,63.02544848330033,0.9759650716309615,0.37443113284804713,2.6065275721264096,0.009146545965723616,0.048858764525764126
hsa-miR-30c-5p,1136.8503794667752,-1.0051887755789288,0.3864690549991829,-2.600955400118786,0.00929645391967925,0.04903879442630805
hsa-miR-584-5p,13.423868145720823,2.6565639837958397,1.0264997962027,2.5879829627080175,0.009653975545898153,0.04990765002715786
hsa-miR-3195,7.205750877677429,2.3501774820415853,0.9086582601642162,2.5864261461914757,0.009697695028973802,0.04990765002715786
